farm_id,AddressKey,B_STRAATNAAM,B_HUIS_NR,B_HUIS_NR_TOEV,B_POSTCODE,B_PLAATS,doc_id_latest,Titel_latest,Datum_latest,Provincie_latest,Check_LBV?,Check_address?,Stage_manual,STAGE_LLM,URL_BEKENDMAKING,URL_PDF
FARM0001,timmermannsweg|135||5813 am|ysselsteyn,Timmermannsweg,135,,5813 AM,Ysselsteyn,0139e9a1c2773498,"Aanvraag Omgevingsvergunning Natura 2000 activiteit gedeeltelijk intrekken van de natuurvergunning (LBV/LBV+), Timmermannsweg 135, 5813 AM Ysselsteyn",2025-03-26,Limburg,LBV_correct,Address_correct,receipt_of_application,receipt_of_application,https://zoek.officielebekendmakingen.nl/prb-2025-4727.html,https://zoek.officielebekendmakingen.nl/prb-2025-4727.pdf
FARM0002,rekveldweg|6||7722 ja|dalfsen,Rekveldweg,6,,7722 JA,Dalfsen,015809ee338f8635,Aanvraag voor het intrekken van een vergunning voor Rekveldweg 6 te Dalfsen t.b.v. LBV,2025-10-03,Overijssel,LBV_correct,Address_correct,receipt_of_application,receipt_of_application,https://zoek.officielebekendmakingen.nl/prb-2025-16237.html,https://zoek.officielebekendmakingen.nl/prb-2025-16237.pdf
FARM0003,houbenbaan|13||6031 na|nederweert,Houbenbaan,13,,6031 NA,Nederweert,01a250ffc458e150,"Aanvraag Omgevingsvergunning Natura 2000 activiteit wijzigen van de natuurvergunning in het kader van de LBV/LBV+ regeling, Houbenbaan 13, 6031 NA Nederweert",2025-06-30,Limburg,LBV_correct,Address_correct,receipt_of_application,receipt_of_application,https://zoek.officielebekendmakingen.nl/prb-2025-10509.html,https://zoek.officielebekendmakingen.nl/prb-2025-10509.pdf
FARM0006,wittebroeksweg|13||7448 ps|haarle,Wittebroeksweg,13,,7448 PS,Haarle,0441381684fa439c,Aanvraag voor een vergunning (LBV) voor de locatie Wittebroeksweg 13 te Haarle,2025-09-09,Overijssel,LBV_correct,Address_correct,receipt_of_application,receipt_of_application,https://zoek.officielebekendmakingen.nl/prb-2025-14715.html,https://zoek.officielebekendmakingen.nl/prb-2025-14715.pdf
FARM0007,schrapveen|2||7925 ph|linde,Schrapveen,2,,7925 PH,Linde,04ac7376bd121c04,"Kennisgeving ontvangst aanvraag omgevingsvergunning voor een Natura 2000-activiteit–Schrapveen 2, 7925 PH Linde–(gedeeltelijke) intrekking vergunning",2025-10-30,Drenthe,LBV_correct,Address_correct,receipt_of_application,receipt_of_application,https://zoek.officielebekendmakingen.nl/prb-2025-17861.html,https://zoek.officielebekendmakingen.nl/prb-2025-17861.pdf
FARM0009,mossendamsweg|4|a|7495 rw|ambt delden,Mossendamsweg,4,a,7495 RW,Ambt Delden,06ce6d7296afcdd0,"Kennisgeving ontvangst van een verzoek tot het behandelen van een aanvraag voor een beschikking, Mossendamsweg 4a Ambt Delden",2025-06-27,Overijssel,LBV_correct,Address_correct,receipt_of_application,receipt_of_application,https://zoek.officielebekendmakingen.nl/prb-2025-10432.html,https://zoek.officielebekendmakingen.nl/prb-2025-10432.pdf
FARM0010,napoleonsweg noord|8||6096 nc|grathem,Napoleonsweg Noord,8,,6096 NC,Grathem,074a26cb668b3984,"Aanvraag Omgevingsvergunning Natura 2000 activiteit gedeeltelijk intrekken van de natuurvergunning (LBV/LBV+), Napoleonsweg Noord 8, 6096 NC Grathem",2025-03-07,Limburg,LBV_correct,Address_correct,receipt_of_application,receipt_of_application,https://zoek.officielebekendmakingen.nl/prb-2025-3582.html,https://zoek.officielebekendmakingen.nl/prb-2025-3582.pdf
FARM0011,engerstraat|3||6012 ra|haler,Engerstraat,3,,6012 RA,Haler,098acc748665d137,"Aanvraag Omgevingsvergunning Natura 2000 activiteit gedeeltelijk intrekken van de natuurvergunning (LBV/LBV+), Engerstraat 3, 6012 RA Haler",2025-02-28,Limburg,LBV_correct,Address_correct,receipt_of_application,receipt_of_application,https://zoek.officielebekendmakingen.nl/prb-2025-3075.html,https://zoek.officielebekendmakingen.nl/prb-2025-3075.pdf
FARM0012,rouwkuilenweg|29|b|5813 bh|ysselsteyn,Rouwkuilenweg,29,B,5813 BH,Ysselsteyn,0a2dc4e7eda45217,"Aanvraag Omgevingsvergunning Natura 2000 activiteit gedeeltelijk intrekken van de natuurvergunning (LBV/LBV+), Rouwkuilenweg 29B, 5813 BH Ysselsteyn",2025-04-10,Limburg,LBV_correct,Address_correct,receipt_of_application,receipt_of_application,https://zoek.officielebekendmakingen.nl/prb-2025-5795.html,https://zoek.officielebekendmakingen.nl/prb-2025-5795.pdf
FARM0013,heerenvenweg|6||5856 cj|wellerlooi,Heerenvenweg,6,,5856 CJ,Wellerlooi,0a92d04ca0f3437b,"Aanvraag Omgevingsvergunning Natura 2000 activiteit gedeeltelijk intrekken van de natuurvergunning (LBV/LBV+), Heerenvenweg 6, 5856 CJ Wellerlooi",2025-04-30,Limburg,LBV_correct,Address_correct,receipt_of_application,receipt_of_application,https://zoek.officielebekendmakingen.nl/prb-2025-7001.html,https://zoek.officielebekendmakingen.nl/prb-2025-7001.pdf
FARM0017,ceresweg|15||5854 pk|bergen l,Ceresweg,15,,5854 PK,Bergen L,0c1fa9e7612ebdc7,"Aanvraag Omgevingsvergunning Natura 2000 activiteit gedeeltelijk intrekken natuurvergunning (LBV/LBV+), Ceresweg 15, 5854 PK Bergen L",2024-10-01,Limburg,LBV_correct,Address_correct,receipt_of_application,receipt_of_application,https://zoek.officielebekendmakingen.nl/prb-2024-14856.html,https://zoek.officielebekendmakingen.nl/prb-2024-14856.pdf
FARM0018,vrijkebomenweg|9||6035 sc|ospel,Vrijkebomenweg,9,,6035 SC,Ospel,0d69055e02618710,"Aanvraag Omgevingsvergunning Natura 2000 activiteit wijzigen van de natuurvergunning in het kader van de LBV/LBV+ regeling, Vrijkebomenweg 9, 6035 SC Ospel",2025-07-10,Limburg,LBV_correct,Address_correct,receipt_of_application,receipt_of_application,https://zoek.officielebekendmakingen.nl/prb-2025-11224.html,https://zoek.officielebekendmakingen.nl/prb-2025-11224.pdf
