publication_date,publication_date_iso,subtitle_raw,subtitle_clean,document_url,pdf_url,notice_type_raw,notice_type_norm,withdrawal_indicator,withdrawal_phrase,withdrawal_scope,action_subject_raw,natura2000_flag,address_string,street,house_number,house_number_suffix,postcode,place,address_parse_quality,address_regex_id,permit_type_raw,activity_raw,activity_norm,publisher,series_year_number,series,series_year,series_number,trigger_terms,confidence,parse_notes
30 - 07 - 2024,,"Terinzagelegging ontwerpbesluit Wet natuurbescherming voor het onderdeel gebiedsbescherming – intrekken vergunning – Beilerweg 6, 9418 TE Wijster","Terinzagelegging ontwerpbesluit Wet natuurbescherming voor het onderdeel gebiedsbescherming - intrekken vergunning - Beilerweg 6, 9418 TE Wijster",https://zoek.officielebekendmakingen.nl/prb-2024-11471.html,https://zoek.officielebekendmakingen.nl/prb-2024-11471.pdf,Terinzagelegging ontwerpbesluit,draft_decision_public_inspection,true,intrekken,volledig,,false,9418 TE Wijster,,,,9418 TE,Wijster,partial,PC_only,,,other,Drenthe,"Provinciaal blad 2024, 11471",Provinciaal blad,2024,11471,Terinzagelegging ontwerpbesluit;intrekken,0.75,
20 - 08 - 2025,,"Terinzagelegging besluit intrekken Omgevingswet voor een Natura 2000-activiteit – Beilerweg 6, 9418 TE Wijster","Terinzagelegging besluit intrekken Omgevingswet voor een Natura 2000 - activiteit - Beilerweg 6, 9418 TE Wijster",https://zoek.officielebekendmakingen.nl/prb-2025-13624.html,https://zoek.officielebekendmakingen.nl/prb-2025-13624.pdf,,other,true,intrekken,volledig,,false,9418 TE Wijster,,,,9418 TE,Wijster,partial,PC_only,,,other,Drenthe,"Provinciaal blad 2025, 13624",Provinciaal blad,2025,13624,intrekken,0.5,
11 - 06 - 2025,,"Kennisgeving ontvangst verzoek tot intrekking van omgevingsvergunning Natura 2000-activiteit – Eursinge 4a, 7935 AB Eursinge","Kennisgeving ontvangst verzoek tot intrekking van omgevingsvergunning Natura 2000 - activiteit - Eursinge 4a, 7935 AB Eursinge",https://zoek.officielebekendmakingen.nl/prb-2025-9463.html,https://zoek.officielebekendmakingen.nl/prb-2025-9463.pdf,Kennisgeving ontvangst verzoek tot intrekking,withdrawal_request_received,true,intrekking,volledig,omgevingsvergunning Natura 2000,false,7935 AB Eursinge,,,,7935 AB,Eursinge,partial,PC_only,omgevingsvergunning Natura 2000,,other,Drenthe,"Provinciaal blad 2025, 9463",Provinciaal blad,2025,9463,Kennisgeving ontvangst verzoek tot intrekking;intrekking,0.75,
20 - 06 - 2025,,Kennisgeving ontvangst aanvraag omgevingsvergunning voor een Natura 2000-activiteit – Zuiderdiep 328 in Tweede Exloërmond –(gedeeltelijke) intrekking vergunning,Kennisgeving ontvangst aanvraag omgevingsvergunning voor een Natura 2000 - activiteit - Zuiderdiep 328 in Tweede Exloërmond - (gedeeltelijke) intrekking vergunning,https://zoek.officielebekendmakingen.nl/prb-2025-10085.html,https://zoek.officielebekendmakingen.nl/prb-2025-10085.pdf,Kennisgeving ontvangst aanvraag,receipt_of_application,true,intrekking,gedeeltelijk,omgevingsvergunning voor een Natura 2000,false,,,,,,,missing,Z_none,omgevingsvergunning voor een Natura 2000,,other,Drenthe,"Provinciaal blad 2025, 10085",Provinciaal blad,2025,10085,Kennisgeving ontvangst aanvraag;gedeeltelijk(e);intrekking,0.75,
17 - 10 - 2025,,"Kennisgeving ontvangst aanvraag omgevingsvergunning voor een Natura 2000-activiteit –Wolddijk 12, 7961 NB Ruinerwold–(gedeeltelijke) intrekking vergunning","Kennisgeving ontvangst aanvraag omgevingsvergunning voor een Natura 2000 - activiteit - Wolddijk 12, 7961 NB Ruinerwold - (gedeeltelijke) intrekking vergunning",https://zoek.officielebekendmakingen.nl/prb-2025-17088.html,https://zoek.officielebekendmakingen.nl/prb-2025-17088.pdf,Kennisgeving ontvangst aanvraag,receipt_of_application,true,intrekking,gedeeltelijk,omgevingsvergunning voor een Natura 2000,false,,,,,,,missing,Z_none,omgevingsvergunning voor een Natura 2000,,other,Drenthe,"Provinciaal blad 2025, 17088",Provinciaal blad,2025,17088,Kennisgeving ontvangst aanvraag;gedeeltelijk(e);intrekking,0.75,
05 - 09 - 2025,,"Kennisgeving ontvangst aanvraag omgevingsvergunning voor een Natura 2000-activiteit – Werkhorstlaan 3, 8385 GJ Vledderveen–(gedeeltelijke) intrekking vergunning","Kennisgeving ontvangst aanvraag omgevingsvergunning voor een Natura 2000 - activiteit - Werkhorstlaan 3, 8385 GJ Vledderveen - (gedeeltelijke) intrekking vergunning",https://zoek.officielebekendmakingen.nl/prb-2025-14515.html,https://zoek.officielebekendmakingen.nl/prb-2025-14515.pdf,Kennisgeving ontvangst aanvraag,receipt_of_application,true,intrekking,gedeeltelijk,omgevingsvergunning voor een Natura 2000,false,,,,,,,missing,Z_none,omgevingsvergunning voor een Natura 2000,,other,Drenthe,"Provinciaal blad 2025, 14515",Provinciaal blad,2025,14515,Kennisgeving ontvangst aanvraag;gedeeltelijk(e);intrekking,0.75,
01 - 09 - 2025,,"Kennisgeving ontvangst aanvraag omgevingsvergunning voor een Natura 2000-activiteit – Van Helomaweg 4, 8351 HT Wapserveen –(gedeeltelijke) intrekking vergunning","Kennisgeving ontvangst aanvraag omgevingsvergunning voor een Natura 2000 - activiteit - Van Helomaweg 4, 8351 HT Wapserveen - (gedeeltelijke) intrekking vergunning",https://zoek.officielebekendmakingen.nl/prb-2025-14232.html,https://zoek.officielebekendmakingen.nl/prb-2025-14232.pdf,Kennisgeving ontvangst aanvraag,receipt_of_application,true,intrekking,gedeeltelijk,omgevingsvergunning voor een Natura 2000,false,,,,,,,missing,Z_none,omgevingsvergunning voor een Natura 2000,,other,Drenthe,"Provinciaal blad 2025, 14232",Provinciaal blad,2025,14232,Kennisgeving ontvangst aanvraag;gedeeltelijk(e);intrekking,0.75,
31 - 07 - 2025,,"Kennisgeving ontvangst aanvraag omgevingsvergunning voor een Natura 2000-activiteit – Van Helomaweg 2A, 8351 HT Wapserveen–(gedeeltelijke) intrekking vergunning","Kennisgeving ontvangst aanvraag omgevingsvergunning voor een Natura 2000 - activiteit - Van Helomaweg 2A, 8351 HT Wapserveen - (gedeeltelijke) intrekking vergunning",https://zoek.officielebekendmakingen.nl/prb-2025-12566.html,https://zoek.officielebekendmakingen.nl/prb-2025-12566.pdf,Kennisgeving ontvangst aanvraag,receipt_of_application,true,intrekking,gedeeltelijk,omgevingsvergunning voor een Natura 2000,false,,,,,,,missing,Z_none,omgevingsvergunning voor een Natura 2000,,other,Drenthe,"Provinciaal blad 2025, 12566",Provinciaal blad,2025,12566,Kennisgeving ontvangst aanvraag;gedeeltelijk(e);intrekking,0.75,
30 - 10 - 2025,,"Kennisgeving ontvangst aanvraag omgevingsvergunning voor een Natura 2000-activiteit–Schrapveen 2, 7925 PH Linde–(gedeeltelijke) intrekking vergunning","Kennisgeving ontvangst aanvraag omgevingsvergunning voor een Natura 2000 - activiteit - Schrapveen 2, 7925 PH Linde - (gedeeltelijke) intrekking vergunning",https://zoek.officielebekendmakingen.nl/prb-2025-17861.html,https://zoek.officielebekendmakingen.nl/prb-2025-17861.pdf,Kennisgeving ontvangst aanvraag,receipt_of_application,true,intrekking,gedeeltelijk,omgevingsvergunning voor een Natura 2000,false,,,,,,,missing,Z_none,omgevingsvergunning voor een Natura 2000,,other,Drenthe,"Provinciaal blad 2025, 17861",Provinciaal blad,2025,17861,Kennisgeving ontvangst aanvraag;gedeeltelijk(e);intrekking,0.75,
10 - 06 - 2025,,"Kennisgeving ontvangst aanvraag omgevingsvergunning voor een Natura 2000-activiteit – Ruinerwoldseweg 2, 7975 PD Uffelte –gedeeltelijke intrekking vergunning","Kennisgeving ontvangst aanvraag omgevingsvergunning voor een Natura 2000 - activiteit - Ruinerwoldseweg 2, 7975 PD Uffelte - gedeeltelijke intrekking vergunning",https://zoek.officielebekendmakingen.nl/prb-2025-9364.html,https://zoek.officielebekendmakingen.nl/prb-2025-9364.pdf,Kennisgeving ontvangst aanvraag,receipt_of_application,true,intrekking,gedeeltelijk,omgevingsvergunning voor een Natura 2000,false,,,,,,,missing,Z_none,omgevingsvergunning voor een Natura 2000,,other,Drenthe,"Provinciaal blad 2025, 9364",Provinciaal blad,2025,9364,Kennisgeving ontvangst aanvraag;gedeeltelijk(e);intrekking,0.75,
