farm_id,AddressKey,B_STRAATNAAM,B_HUIS_NR,B_HUIS_NR_TOEV,B_POSTCODE,B_PLAATS,COMPANY_NAME,company_id,doc_id_latest,Titel_latest,Datum_latest,Instantie_latest,stage_latest_llm,stage_latest_manual,URL_BEKENDMAKING,URL_PDF,doc_ids_all,AddressKeyAll
FARM0001,dijkerheideweg|3||5961 nc|horst,Dijkerheideweg,3,,5961 NC,Horst,,,doc_00001,"Kennisgeving omgevingsvergunning Natura 2000-activiteit, Dijkerheideweg 3 en 9, Horst, Z2025-00001381",2025-11-19,Limburg,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-19204.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-19204/1/pdf/prb-2025-19204.pdf,"doc_00001,doc_00305","dijkerheideweg|3||5961 nc|horst,dijkerheideweg|9||5961 nc|horst"
FARM0001,dijkerheideweg|9||5961 nc|horst,Dijkerheideweg,9,,5961 NC,Horst,,,doc_00001,"Kennisgeving omgevingsvergunning Natura 2000-activiteit, Dijkerheideweg 3 en 9, Horst, Z2025-00001381",2025-11-19,Limburg,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-19204.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-19204/1/pdf/prb-2025-19204.pdf,"doc_00001,doc_00305","dijkerheideweg|3||5961 nc|horst,dijkerheideweg|9||5961 nc|horst"
FARM0002,korhoenweg|7||5725 tj|heusden,Korhoenweg,7,,5725 TJ,Heusden,Maatschap M.J.A. Maas-Haasen en W.L.J.C. Maas,,doc_00002,"Provincie Noord-Brabant – ontwerpbeschikking aanvraag omgevingsvergunning – Maatschap M.J.A. Maas-Haasen en W.L.J.C. Maas, Korhoenweg 7, 5725 TJ te Heusden",2025-11-18,Noord-Brabant,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-19089.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-19089/1/pdf/prb-2025-19089.pdf,doc_00002,korhoenweg|7||5725 tj|heusden
FARM0003,radioweg|11||5836 cd|sambeek,Radioweg,11,,5836 CD,Sambeek,Van der Cruijsen,,doc_00003,"Provincie Noord-Brabant – ontwerpbeschikking aanvraag omgevingsvergunning - Van der Cruijsen, Radioweg 11, 5836 CD te Sambeek",2025-11-18,Noord-Brabant,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-19088.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-19088/1/pdf/prb-2025-19088.pdf,doc_00003,radioweg|11||5836 cd|sambeek
FARM0004,scheiweg|6|a|5809 eh|leunen,Scheiweg,6,A,5809 EH,Leunen,,,doc_00004,"Aanvraag Omgevingsvergunning Natura 2000 activiteit wijzigen van de natuurvergunning in het kader van de Lbv/Lbv+ regeling, Scheiweg 6A, 5809 EH Leunen",2025-11-18,Limburg,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-19106.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-19106/1/pdf/prb-2025-19106.pdf,doc_00004,scheiweg|6|a|5809 eh|leunen
FARM0005,scheiweg|15||5809 eh|leunen,Scheiweg,15,,5809 EH,Leunen,,,doc_00005,"Aanvraag Omgevingsvergunning Natura 2000 activiteit wijzigen van de natuurvergunning in het kader van de Lbv/Lbv+ regeling, Scheiweg 15, 5809 EH Leunen",2025-11-18,Limburg,receipt_of_application,,https://zoek.officielebekendmakingen.nl/prb-2025-19103.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-19103/1/pdf/prb-2025-19103.pdf,doc_00005,scheiweg|15||5809 eh|leunen
FARM0006,waterweg|48||8071 rt|nunspeet,Waterweg,48,,8071 RT,Nunspeet,,,doc_00006,"Provincie Gelderland – Omgevingswet Natura 2000-activiteit, locatie Waterweg 48 te Nunspeet",2025-11-17,Gelderland,definitive_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18995.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18995/1/pdf/prb-2025-18995.pdf,"doc_00006,doc_00124",waterweg|48||8071 rt|nunspeet
FARM0007,geurkenweg|1||7251 mn|vorden,Geurkenweg,1,,7251 MN,Vorden,,,doc_00007,"Provincie Gelderland – Omgevingswet Natura 2000-activiteit, locatie Geurkenweg 1 te Vorden",2025-11-17,Gelderland,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18956.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18956/1/pdf/prb-2025-18956.pdf,doc_00007,geurkenweg|1||7251 mn|vorden
FARM0008,polleveenseweg|11||3781 nl|voorthuizen,Polleveenseweg,11,,3781 NL,Voorthuizen,,,doc_00008,"Provincie Gelderland Omgevingswet Natura 2000-activiteit, locatie Polleveenseweg 11 te Voorthuizen",2025-11-17,Gelderland,definitive_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18955.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18955/1/pdf/prb-2025-18955.pdf,"doc_00008,doc_00115,doc_00358",polleveenseweg|11||3781 nl|voorthuizen
FARM0009,bosweg|2||7121 kp|aalten,Bosweg,2,,7121 KP,Aalten,,,doc_00009,"Provincie Gelderland Omgevingswet Natura 2000-activiteit, locatie Bosweg 2 te Aalten",2025-11-17,Gelderland,definitive_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-19031.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-19031/1/pdf/prb-2025-19031.pdf,"doc_00009,doc_00247",bosweg|2||7121 kp|aalten
FARM0010,gevlochtsebaan|4||5725 rd|heusden,Gevlochtsebaan,4,,5725 RD,Heusden,Het Gevlocht BV,,doc_00010,"Provincie Noord-Brabant – ontwerpbesluit aanvraag omgevingsvergunning - Het Gevlocht BV, Gevlochtsebaan 4, 5725 RD te Heusden",2025-11-14,Noord-Brabant,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18886.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18886/1/pdf/prb-2025-18886.pdf,"doc_00010,doc_00217",gevlochtsebaan|4||5725 rd|heusden
FARM0011,weterschoten|11||7381 al|klarenbeek,Weterschoten,11,,7381 AL,Klarenbeek,,,doc_00013,"Provincie Gelderland – Omgevingswet Natura 2000-activiteit, locatie Weterschoten 11 te Klarenbeek",2025-11-14,Gelderland,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18876.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18876/1/pdf/prb-2025-18876.pdf,doc_00013,weterschoten|11||7381 al|klarenbeek
FARM0012,middelsteeg|5||5301 lc|zaltbommel,Middelsteeg,5,,5301 LC,Zaltbommel,,,doc_00014,"Provincie Gelderland – Omgevingswet Natura 2000-activiteit, locatie Middelsteeg 5 te Zaltbommel",2025-11-14,Gelderland,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18917.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18917/1/pdf/prb-2025-18917.pdf,doc_00014,middelsteeg|5||5301 lc|zaltbommel
FARM0013,meulunterseweg|3||6741 hl|lunteren,Meulunterseweg,3,,6741 HL,Lunteren,,,doc_00015,"Provincie Gelderland Omgevingswet Natura 2000-activiteit, locatie Meulunterseweg 3 en 5 te Lunteren",2025-11-14,Gelderland,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18849.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18849/1/pdf/prb-2025-18849.pdf,doc_00015,"meulunterseweg|3||6741 hl|lunteren,meulunterseweg|5||6741 hl|lunteren"
FARM0013,meulunterseweg|5||6741 hl|lunteren,Meulunterseweg,5,,6741 HL,Lunteren,,,doc_00015,"Provincie Gelderland Omgevingswet Natura 2000-activiteit, locatie Meulunterseweg 3 en 5 te Lunteren",2025-11-14,Gelderland,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18849.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18849/1/pdf/prb-2025-18849.pdf,doc_00015,"meulunterseweg|3||6741 hl|lunteren,meulunterseweg|5||6741 hl|lunteren"
FARM0014,goorseberglaan|9||5752 sm|deurne,Goorseberglaan,9,,5752 SM,Deurne,Walsberg Deurne BV,,doc_00016,"Provincie Noord-Brabant – ontwerpbeschikking aanvraag omgevingsvergunning - Walsberg Deurne BV, Goorseberglaan 9, 5752 SM te Deurne",2025-11-13,Noord-Brabant,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18821.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18821/1/pdf/prb-2025-18821.pdf,doc_00016,goorseberglaan|9||5752 sm|deurne
FARM0015,honderdbunderweg|9||5151 rj|drunen,Honderdbunderweg,9,,5151 RJ,Drunen,Melkveebedrijf M. van Drunen VOF,,doc_00017,"Provincie Noord-Brabant – ontwerpbeschikking aanvraag omgevingsvergunning - Melkveebedrijf M. van Drunen VOF, Honderdbunderweg 9, 5151 RJ te Drunen",2025-11-13,Noord-Brabant,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18820.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18820/1/pdf/prb-2025-18820.pdf,doc_00017,honderdbunderweg|9||5151 rj|drunen
FARM0016,kerkenhuisweg|6||5441 pw|oeffelt,Kerkenhuisweg,6,,5441 PW,Oeffelt,FHP van Bergen,,doc_00018,"Provincie Noord-Brabant – ontwerpbeschikking aanvraag omgevingsvergunning - FHP van Bergen, Kerkenhuisweg 6, 5441 PW te Oeffelt",2025-11-13,Noord-Brabant,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18822.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18822/1/pdf/prb-2025-18822.pdf,doc_00018,kerkenhuisweg|6||5441 pw|oeffelt
FARM0017,westerwijk|11|a|5087 kg|diessen,Westerwijk,11,a,5087 KG,Diessen,Van den Broek - Bogers BV,,doc_00019,"Provincie Noord-Brabant – beschikking aanvraag omgevingsvergunning - Van den Broek - Bogers BV, Westerwijk 11a, 5087 KG te Diessen",2025-11-13,Noord-Brabant,definitive_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18817.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18817/1/pdf/prb-2025-18817.pdf,"doc_00019,doc_00208",westerwijk|11|a|5087 kg|diessen
FARM0018,oude homoetsestraat|27||6676 la|homoet,Oude Homoetsestraat,27,,6676 LA,Homoet,,,doc_00021,"Provincie Gelderland Omgevingswet Natura 2000-activiteit, locatie Oude Homoetsestraat 27 te Homoet",2025-11-13,Gelderland,draft_decision,,https://zoek.officielebekendmakingen.nl/prb-2025-18766.html,https://repository.overheid.nl/frbr/officielepublicaties/prb/2025/prb-2025-18766/1/pdf/prb-2025-18766.pdf,doc_00021,oude homoetsestraat|27||6676 la|homoet
